维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_advance_amt_avg,double,过去30天提前还款的金额均值,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_advance_amt_acc,double,过去30天提前还款的金额总计,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_advance_days_farthest,double,过去30天最早提前还款距当前天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_advance_days_latest,double,过去30天最晚提前还款距当前天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_advance_flag,double,过去60天有无提前还款,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_advance_bill_cnt,double,过去60天提前还款的账单数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_advance_amt_max,double,过去60天提前还款的金额最大值,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_advance_amt_min,double,过去60天提前还款的金额最小值,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_advance_amt_avg,double,过去60天提前还款的金额均值,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_advance_amt_acc,double,过去60天提前还款的金额总计,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_advance_days_max,double,过去60天最大提前还款天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_advance_days_min,double,过去60天最小提前还款天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_advance_days_avg,double,过去60天平均提前还款天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_advance_days_farthest,double,过去60天最早提前还款距当前天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p60d_advance_days_latest,double,过去60天最晚提前还款距当前天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p90d_advance_flag,double,过去90天有无提前还款,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
